strain,sequenced,genome_length_bp,n_small_circular_contigs,n_prophages_depht,n_prophages_html,prophage_names,prophage_lengths,prophage_coords,n_defense_df,n_rm_df,rm_subtypes,df_system_types,df_subtypes,n_defense_padloc,n_rm_padloc,n_rm_dedup,total_defense_systems,assembly_type,species,subspecies,institution,country,eop_phages_tested,eop1_full_count,eop1_fraction,dcc,prophage_clusters,n_prophage_clusters,eop1_phages,eop1_count,eop_partial_phages,eop_partial_count,morphology,morphology_flag,...36,killing_phages,killing_count,killing_flag,phage_susceptible,phage_partial_infection,n_defense_islands,n_defense_island_systems,defense_island_types,defense_island_spots
GD347A,TRUE,4880437,0,1,1,prophiGD347A-1,52354,3332093-3382874,4,1,RM_II,AbiAlpha|CBASS|RM_Type_II|Wadjet,AbiAlpha|CBASS_I_Phospholipase|DNA_met_RM_Type_II_PDDEXK|Wadjet_I,9,1,1,13,NA,M. abscessus,abscessus,Hadassah-Hebrew University Medical Center,Israel,NA,NA,NA,DCC4,HL,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CBASS|RM_Type_II,spot_34|spot_53
GD347A-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Hadassah-Hebrew University Medical Center,Israel,NA,NA,NA,NA,NA,0,Muddy|Muddy_HRM-GD04,2,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD347A-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Hadassah-Hebrew University Medical Center,Israel,NA,NA,NA,NA,NA,0,NA,0,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD347B,TRUE,4975309,1,0,0,NA,NA,NA,9,2,RM_IIG,AbiAlpha|AbiU|Armada|RM_Type_IIG|RosmerTA|Thoeris|VP1853|Wadjet,AbiAlpha|AbiU|Armada_Type_II|N6_RM_Type_IIG|RosmerTA|Thoeris_II|VP1853|Wadjet_I,10,1,1,19,NA,M. abscessus,abscessus,Hadassah-Hebrew University Medical Center,Israel,NA,NA,NA,Non-DCC,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,AbiAlpha|Thoeris,spot_103|spot_72
GD348,TRUE,5180762,0,3,3,prophiGD348_19-1|prophiGD348_2-1|prophiGD348_5-1,38337|52601|58479,711-38050|383868-436052|2700-59837,7,0,NA,AbiAlpha|Aristaios|CBASS|Dag|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dag|Dnd_ABCDE|Hna|Wadjet_I,13,0,0,20,NA,M. abscessus,abscessus,University of Kentucky,USA,36,0,0,DCC1,HB|HF|HA,3,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,5,5,AbiAlpha|CBASS|Dag|Dnd|Hna,spot_0|spot_3|spot_32|spot_34
GD349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of Kansas Medical Center,USA,10,0,0,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD35,TRUE,5066031,0,1,1,prophiGD35-1,69032,1737862-2622827,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,"Northwell Health, NY",USA,18,3,0.1667,DCC1,HA,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Itos,3,Faith1,1,R,FALSE,TRUE,BPs|Itos,2,TRUE,TRUE,TRUE,3,3,AbiAlpha|Aristaios|CBASS,spot_3|spot_32|spot_49
GD350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of Kansas Medical Center,USA,10,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD351,TRUE,5046529,1,1,1,prophiGD351_1-1,57531,1083930-1140120,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,"Slidell, LA",USA,26,15,0.5769,DCC1,HA,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|BPsHRM10_pMC09|Itos|phAK1|phAK2|phi-T45|phi-T46|Snailtales|phiGD57-1|phiGD17-1|phiGD24-3|phiGD89A-1|phiGD20-1|phiGD22-1,15,BPsREM1del33,1,R,FALSE,TRUE,BPs|Itos,2,TRUE,TRUE,TRUE,2,2,Aristaios|Dnd,spot_34
GD352,TRUE,4734225,0,0,0,NA,NA,NA,3,1,RM_I,AbiAlpha|RM_Type_I|Wadjet,AbiAlpha|N6_RM_Type_I|Wadjet_I,9,1,1,12,NA,M. abscessus,abscessus,NYU Langone Medical Center Langone Medical Center,USA,26,3,0.1154,DCC5,NA,0,phAK1|phAK2|Snailtales,3,phiGD89A-1,1,R,FALSE,TRUE,phAK2,1,TRUE,TRUE,TRUE,0,0,NA,NA
GD353,TRUE,5063630,0,1,1,prophiGD353_2-1,70587,450655-520789,7,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|SEFIR|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|SEFIR|Wadjet_I,12,0,0,19,NA,M. abscessus,abscessus,UPMC Pittsburgh,NA,26,13,0.5,DCC1,HA,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|BPsREM1del33|BPsHRM10_pMC09|Itos|D29_HRM_GD40|phAK1|phAK2|phi-T45|phiGD57-1|phiGD17-1|phiGD24-3|phiGD89A-1,13,Snailtales|phiGD20-1|phiGD22-1,3,R,FALSE,TRUE,D29|phAK2,2,TRUE,TRUE,TRUE,4,4,AbiAlpha|Aristaios|CBASS|SEFIR,spot_18|spot_3|spot_32|spot_49
GD354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,San Francisco,USA,10,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD355,TRUE,5150840,0,2,2,prophiGD355_2-1|prophiGD355_7-1,83142|29531,353952-436834|762-30093,8,2,RM_IIG,AbiAlpha|Armada|Kiwa|RM_Type_IIG|RosmerTA|Wadjet,AbiAlpha|Armada_Type_II|Kiwa|N6_RM_Type_IIG|RosmerTA|Wadjet_I,14,1,1,22,NA,M. abscessus,abscessus,University College London,NA,26,3,0.1154,DCC5,HC|HH,2,Muddy|Muddy_HRM-GD04|Muddy_HRM-N0052,3,NA,0,R,FALSE,TRUE,Muddy|Itos,2,TRUE,TRUE,FALSE,3,3,AbiAlpha|Kiwa|RosmerTA,spot_15|spot_32
GD356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Medical University of South Carolina (MUSC),NA,10,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD357,TRUE,5655693,1,0,0,NA,NA,NA,7,1,RM_IIG|RM_IV,CBASS|Ceres|DS-29|Esos|PD-T7-2|RM_Type_IIG|Thoeris,CBASS_II_Phospholipase|Ceres|DS-29|Esos|N6_RM_Type_IIG|PD-T7-2|Thoeris_XI,12,1,2,19,NA,M. chimaera,NA,"National Heart Lung and Blood Institute, NIH, Bethesda, MD",NA,10,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD358,TRUE,5134153,0,0,0,NA,NA,NA,5,2,RM_I,Ceres|Esos|MspJI|RM_Type_I,Ceres|Esos|MspJI|N6_RM_Type_I,11,2,2,16,NA,M. avium,NA,National Jewish Health,NA,10,3,0.3,NA,NA,0,Muddy|Muddy_HRM-GD04|8UZL,3,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,FALSE,0,0,NA,NA
GD359,TRUE,5164590,1,3,3,prophiGD359_1-1|prophiGD359_11-1|prophiGD359_4-1,52458|53953|72282,445593-497546|96-53929|292384-364213,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,"Kaiser Permanente, San Jose",USA,26,1,0.0385,DCC1,HD|A1|HA,3,Itos,1,phiGD20-1,1,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,3,3,Aristaios|CBASS|Hna,spot_3|spot_49
GD36,TRUE,5383158,2,1,1,prophiGD36_4-1,43608,212699-255739,8,1,RM_III,AbiAlpha|AbiD|Aristaios|Dnd|Hna|RM_Type_III|VP1853|Wadjet,AbiAlpha|AbiD|Aristaios|Dnd_ABCDE|Hna|N6_N4_RM_Type_III|VP1853|Wadjet_I,9,0,1,17,NA,M. abscessus,abscessus,"Vancouver, BC, Canada",NA,13,1,0.0769,DCC1,HH,1,Itos,1,Faith1,1,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,4,5,AbiD|Dnd|Hna|RM_Type_III|VP1853,spot_0
GD360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Hadassah-Hebrew University Medical Center,Israel,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,FALSE,NA,0,NA,NA,NA,0,0,NA,NA
GD360A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Hadassah-Hebrew University Medical Center,Israel,NA,NA,NA,NA,NA,0,ZoeJdel43-45|Fionnbharthdel45del47|CrimD del del|Itos|Fred313_cpm1|Isca_cpm1,6,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|BPsHRM10_pMC09|Adephagiadel43del45,4,R,FALSE,TRUE,ZoeJ|phAK20,2,TRUE,TRUE,TRUE,0,0,NA,NA
GD360B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Hadassah-Hebrew University Medical Center,Israel,NA,NA,NA,NA,NA,0,BPsHRM10_pMC09|ZoeJdel43-45|Fionnbharthdel45del47|CrimD del del|Itos|Fred313_cpm1|Isca_cpm1|phi-T45,8,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Adephagiadel43del45|Snailtales|phiGD17-1|phiGD89A-1,6,S,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,0,0,NA,NA
GD361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Tampere, Finland",Finland,26,0,0,NA,NA,0,NA,0,CrimD del del|Adephagiadel43del45,2,S,TRUE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Penn medicine,USA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,FALSE,NA,0,FALSE,TRUE,NA,0,0,NA,NA
GD362A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Penn medicine,USA,NA,NA,NA,NA,NA,0,Muddy|Muddy_HRM-GD04|Muddy_HRM-N0052,3,phAK2|phiGD89A-1,2,S,TRUE,NA,NA,NA,NA,NA,TRUE,0,0,NA,NA
GD362B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Penn medicine,USA,NA,NA,NA,NA,NA,0,NA,0,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD363A,TRUE,4856356,0,1,1,prophiGD363A_3-1,40549,156535-196277,7,1,RM_III,AbiAlpha|Avs|DS-20|RM_Type_III|RosmerTA|Wadjet,AbiAlpha|Avs5|Avs7|DS-20|N6_N4_RM_Type_III|RosmerTA|Wadjet_I,8,0,1,15,NA,M. abscessus,abscessus,National Jewish Health,NA,26,3,0.1154,DCC4,HB,1,Muddy|Muddy_HRM-GD04|Muddy_HRM-N0052,3,phiGD89A-1,1,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,4,4,Avs|DS-20|RM_Type_III|RosmerTA,spot_124|spot_19|spot_34|spot_39
GD363B,TRUE,4856266,0,1,1,prophiGD363B_3-1,40549,156309-196051,7,1,RM_III,AbiAlpha|Avs|DS-20|RM_Type_III|RosmerTA|Wadjet,AbiAlpha|Avs5|Avs7|DS-20|N6_N4_RM_Type_III|RosmerTA|Wadjet_I,8,0,1,15,NA,M. abscessus,abscessus,National Jewish Health,NA,26,0,0,DCC4,HB,1,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,4,AbiAlpha|Avs|RM_Type_III|RosmerTA,spot_124|spot_39
GD364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Melbourne, Australia",NA,26,1,0.0385,NA,NA,0,phiGD22-1,1,NA,0,S,FALSE,FALSE,NA,0,NA,NA,FALSE,0,0,NA,NA
GD364A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Melbourne, Australia",NA,NA,NA,NA,NA,NA,0,Itos,1,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD364B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Melbourne, Australia",NA,NA,NA,NA,NA,NA,0,NA,0,Itos,1,S,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,0,0,NA,NA
GD365,TRUE,5063992,1,1,1,prophiGD365_7-1,57531,292353-348543,8,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|SEFIR|VP1853|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|SEFIR|VP1853|Wadjet_I,12,0,0,20,NA,M. abscessus,abscessus,"Nationwide Childrens, OH",USA,26,1,0.0385,DCC1,HA,1,D29_HRM_GD40,1,phi-T45,1,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,1,1,AbiAlpha,NA
GD366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,National Jewish Health,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,TRUE,BPs|Muddy|Itos|phAK2,4,TRUE,TRUE,NA,0,0,NA,NA
GD366A,TRUE,5114941,1,1,1,prophiGD366A_5-1,47085,7638-54435,9,4,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,11,1,3,20,NA,M. abscessus,abscessus,National Jewish Health,NA,NA,NA,NA,DCC2,HE,1,Muddy|Muddy_HRM-GD04|Muddy_HRM-N0052,3,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|BPsHRM10_pMC09|Itos,4,R,FALSE,NA,NA,NA,NA,NA,TRUE,5,7,Armada|RM_Type_I|RM_Type_IIG|RloC|Thoeris,spot_22|spot_56|spot_9
GD366B,TRUE,5122332,1,1,1,prophiGD366B_5-1,60695,160253-219828,9,4,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,11,1,3,20,NA,M. abscessus,abscessus,National Jewish Health,NA,NA,NA,NA,DCC2,HE,1,NA,0,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,4,6,Armada|RM_Type_IIG|RloC|Thoeris,spot_22|spot_23|spot_54
GD367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,UPMC Pittsburgh,NA,26,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Mayo Clinic of Rochester, Minnesota",USA,26,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD369,TRUE,368661,6,0,0,NA,NA,NA,8,0,RM_IV,CBASS|Cas|Ceres|DRT-like_UG|DS-29|Esos|Thoeris,CAS_Class1-Subtype-IV-D|CBASS_II_Phospholipase|Ceres|DS-29|Esos|Thoeris_IV|UG33,17,1,1,25,NA,M. chimaera,NA,University of Kansas Health System,USA,11,2,0.1818,NA,NA,0,CrimD del del|phSY1,2,ZoeJdel43-45,1,No Morphology,FALSE,TRUE,CrimD,1,TRUE,TRUE,TRUE,0,0,NA,NA
GD37,TRUE,4760160,0,0,0,NA,NA,NA,10,1,RM_IIG,AbiAlpha|Butters_gp57r|Dag|DpnI|Other_Type_IV|Paris|RM_Type_IIG|SEFIR|VP1853|Wadjet,AbiAlpha|Butters_gp57r|Dag|DpnI|N6_RM_Type_IIG|Other_Type_IV|PARIS_I|SEFIR|VP1853|Wadjet_I,11,1,1,21,NA,M. abscessus,bolletii,"Vancouver, BC, Canada",NA,14,0,0,Non-DCC,NA,0,NA,0,Muddy_HRM-GD04,1,S,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,3,6,Butters_gp57r|Dag|RM_Type_IIG|SEFIR|VP1853|Wadjet,spot_61|spot_65
GD370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Mt. Sinai hospital, NY",USA,10,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,FALSE,NA,0,NA,NA,NA,0,0,NA,NA
GD371A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,NA,NA,NA,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD371B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,NA,NA,NA,NA,NA,0,NA,0,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD371C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,FALSE,NA,0,FALSE,FALSE,NA,0,0,NA,NA
GD371D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
GD372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"University of Minho, Portugal",Portugal,26,3,0.1154,NA,NA,0,Muddy|Muddy_HRM-GD04|Muddy_HRM-N0052,3,Itos,1,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Mayo Clinic of Rochester, Minnesota",USA,26,1,0.0385,NA,NA,0,Muddy_HRM-GD04,1,Itos,1,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD374,TRUE,6383206,3,1,1,prophiGD374_29-1,59232,644-58856,5,0,RM_IV,CBASS|Cas|Ceres|Esos|Taranis,CAS_Class1-Subtype-IV-B|CBASS_II_Phospholipase|Ceres|Esos|Taranis,16,1,1,21,NA,M. chimaera,NA,"Mayo Clinic of Rochester, Minnesota",USA,11,1,0.0909,NA,unclustered,0,ZoeJdel43-45,1,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Medical University of South Carolina,NA,26,0,0,NA,NA,0,NA,0,ZoeJdel43-45,1,R,FALSE,TRUE,ZoeJ,1,TRUE,FALSE,TRUE,0,0,NA,NA
GD376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Medical University of South Carolina,NA,10,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of Minnesota,USA,26,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Royal Prince Alfred Hospital, Australia",NA,27,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hollywood, FL",USA,27,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD38,TRUE,5182416,0,0,0,NA,NA,NA,6,1,RM_IIG,AbiAlpha|CBASS|Dag|RM_Type_IIG|RosmerTA|Wadjet,AbiAlpha|CBASS_II_Phospholipase|Dag|N6_RM_Type_IIG|RosmerTA|Wadjet_I,11,1,1,17,NA,M. abscessus,abscessus,"Hamilton General Hospital, Hamilton, ON, Canada",NA,23,2,0.087,DCC4,NA,0,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,NA,0,R,FALSE,TRUE,BPs,1,TRUE,TRUE,FALSE,4,4,CBASS|Dag|RM_Type_IIG|RosmerTA,spot_19|spot_3|spot_66|spot_88
GD380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Public Health Ontario,NA,27,3,0.1111,NA,NA,0,Muddy|Muddy_HRM-GD04|Muddy_HRM-N0052,3,NA,0,S,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The University of North Carolina at Chapel Hill,NA,27,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,UPMC Pittsburgh,NA,27,6,0.2222,NA,NA,0,BPsdel33HTH_HRM10|BPsHRM10_pMC09|phAK1|phAK2|phAK29|phi-T45,6,BPsdel33HTH_HRM-GD03|BPsREM1del33|Itos|D29_HRM_GD40|phAK20|phAK31|Snailtales|phiABC35,8,R,FALSE,TRUE,BPs,1,TRUE,TRUE,TRUE,0,0,NA,NA
GD383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,UPMC Pittsburgh,NA,27,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,UPMC Pittsburgh,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,FALSE,NA,0,NA,NA,NA,0,0,NA,NA
GD384A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,UPMC Pittsburgh,NA,NA,NA,NA,NA,NA,0,phiABC35,1,phAK31|phi-T45,2,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD384B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,UPMC Pittsburgh,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Palma de Mallorca, Spain.",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,FALSE,NA,0,FALSE,TRUE,NA,0,0,NA,NA
GD385A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Palma de Mallorca, Spain.",NA,NA,NA,NA,NA,NA,0,NA,0,Itos|D29_HRM_GD40|phAK1|phAK2|phAK29|phi-T45,6,S,FALSE,NA,NA,NA,NA,NA,TRUE,0,0,NA,NA
GD385B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Palma de Mallorca, Spain.",NA,NA,NA,NA,NA,NA,0,NA,0,BPsHRM10_pMC09|phAK29,2,S,FALSE,NA,NA,NA,NA,NA,TRUE,0,0,NA,NA
GD386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Montpellier, France",NA,10,0,0,NA,NA,0,NA,0,NA,0,S,TRUE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Queensland Health, Australia",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,FALSE,NA,0,FALSE,FALSE,NA,0,0,NA,NA
GD387A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Queensland Health, Australia",NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD387B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Queensland Health, Australia",NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
